zpid,open_house,open_house_info
249664756,Sat. 1-3pm,"{'open_house_showing': [{'open_house_end': 1688248800000, 'open_house_start': 1688241600000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
15092107,Sun. 12-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688324400000}]}"
15097651,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
15096531,Thu. 4-6pm,"{'open_house_showing': [{'open_house_end': 1688086800000, 'open_house_start': 1688079600000}, {'open_house_end': 1688173200000, 'open_house_start': 1688166000000}]}"
111921833,Thu. 5:30-7pm,"{'open_house_showing': [{'open_house_end': 1688090400000, 'open_house_start': 1688085000000}, {'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
15069916,Sat. 11am-1pm,"{'open_house_showing': [{'open_house_end': 1688241600000, 'open_house_start': 1688234400000}]}"
15071396,Sat. 10am-12pm,"{'open_house_showing': [{'open_house_end': 1688238000000, 'open_house_start': 1688230800000}]}"
332850512,Thu. 4:30-6:30pm,"{'open_house_showing': [{'open_house_end': 1688088600000, 'open_house_start': 1688081400000}, {'open_house_end': 1688248800000, 'open_house_start': 1688241600000}, {'open_house_end': 1688328000000, 'open_house_start': 1688320800000}]}"
2060419257,7/9 2-4pm,"{'open_house_showing': [{'open_house_end': 1688943600000, 'open_house_start': 1688936400000}]}"
303806985,Thu. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688079600000, 'open_house_start': 1688072400000}]}"
15071942,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
15072638,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
15072278,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
2058265600,Sat. 12-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688238000000}, {'open_house_end': 1688338800000, 'open_house_start': 1688324400000}]}"
2058265601,Sat. 12-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688238000000}, {'open_house_end': 1688338800000, 'open_house_start': 1688324400000}]}"
2061833663,Sat. 12-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688238000000}, {'open_house_end': 1688338800000, 'open_house_start': 1688324400000}]}"
2067925710,Sat. 12-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688238000000}, {'open_house_end': 1688338800000, 'open_house_start': 1688324400000}]}"
2058463567,Sat. 12-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688238000000}, {'open_house_end': 1688338800000, 'open_house_start': 1688324400000}]}"
2058463747,Sat. 12-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688238000000}, {'open_house_end': 1688338800000, 'open_house_start': 1688324400000}]}"
2060098440,Sat. 12-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688238000000}, {'open_house_end': 1688338800000, 'open_house_start': 1688324400000}]}"
2056842332,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
15200305,Sat. 1-3pm,"{'open_house_showing': [{'open_house_end': 1688248800000, 'open_house_start': 1688241600000}, {'open_house_end': 1688335200000, 'open_house_start': 1688328000000}]}"
15199390,Sat. 12-2pm,"{'open_house_showing': [{'open_house_end': 1688245200000, 'open_house_start': 1688238000000}, {'open_house_end': 1688335200000, 'open_house_start': 1688328000000}]}"
15184739,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}, {'open_house_end': 1688857200000, 'open_house_start': 1688850000000}, {'open_house_end': 1688943600000, 'open_house_start': 1688936400000}]}"
15182263,Fri. 5-7pm,"{'open_house_showing': [{'open_house_end': 1688176800000, 'open_house_start': 1688169600000}, {'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
64971518,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
15132761,Sun. 1-3pm,"{'open_house_showing': [{'open_house_end': 1688335200000, 'open_house_start': 1688328000000}]}"
15183639,Thu. 4-5pm,"{'open_house_showing': [{'open_house_end': 1688083200000, 'open_house_start': 1688079600000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
15199209,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
2112579523,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
15128911,Fri. 11am-5pm,"{'open_house_showing': [{'open_house_end': 1688169600000, 'open_house_start': 1688148000000}, {'open_house_end': 1688256000000, 'open_house_start': 1688234400000}, {'open_house_end': 1688342400000, 'open_house_start': 1688320800000}]}"
15132765,Sat. 12-3pm,"{'open_house_showing': [{'open_house_end': 1688248800000, 'open_house_start': 1688238000000}, {'open_house_end': 1688335200000, 'open_house_start': 1688328000000}]}"
15132708,Sat. 12-1:30pm,"{'open_house_showing': [{'open_house_end': 1688243400000, 'open_house_start': 1688238000000}, {'open_house_end': 1688324400000, 'open_house_start': 1688320800000}]}"
335654236,Sat. 11am-1:30pm,"{'open_house_showing': [{'open_house_end': 1688243400000, 'open_house_start': 1688234400000}]}"
67394355,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
125243888,Sat. 1-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688241600000}, {'open_house_end': 1688338800000, 'open_house_start': 1688328000000}]}"
15193334,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
15197414,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688342400000, 'open_house_start': 1688335200000}]}"
15126552,Sat. 1-3pm,"{'open_house_showing': [{'open_house_end': 1688248800000, 'open_house_start': 1688241600000}]}"
15067067,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}]}"
2061619354,Thu. 1-4pm,"{'open_house_showing': [{'open_house_end': 1688079600000, 'open_house_start': 1688068800000}]}"
2060463121,Sun. 11am-1pm,"{'open_house_showing': [{'open_house_end': 1688328000000, 'open_house_start': 1688320800000}]}"
2057189769,Sun. 11am-1pm,"{'open_house_showing': [{'open_house_end': 1688328000000, 'open_house_start': 1688320800000}]}"
2077287192,Thu. 4:30-6:30pm,"{'open_house_showing': [{'open_house_end': 1688088600000, 'open_house_start': 1688081400000}, {'open_house_end': 1688340600000, 'open_house_start': 1688333400000}]}"
2073680189,Sat. 12-1:30pm,"{'open_house_showing': [{'open_house_end': 1688243400000, 'open_house_start': 1688238000000}]}"
15065128,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}, {'open_house_end': 1688340600000, 'open_house_start': 1688333400000}]}"
2056984374,Sat. 1-3pm,"{'open_house_showing': [{'open_house_end': 1688248800000, 'open_house_start': 1688241600000}, {'open_house_end': 1688335200000, 'open_house_start': 1688328000000}]}"
