GDP,Interest Rate
,5.92
,5.98
7580.997,6.05
,6.01
,6.0
7683.125,5.85
,5.74
,5.8
7772.586,5.76
,5.8
,5.6
7868.468,5.56
,5.22
,5.31
8032.84,5.22
,5.24
,5.27
8131.408,5.4
,5.22
,5.3
8259.771,5.24
,5.31
,5.29
8362.655,5.25
,5.19
,5.39
8518.825,5.51
,5.5
,5.56
8662.823,5.52
,5.54
,5.54
8765.907,5.5
,5.52
,5.5
8866.48,5.56
,5.51
,5.49
8969.699,5.45
,5.49
,5.56
9121.097,5.54
,5.55
,5.51
9293.991,5.07
,4.83
,4.68
9411.682,4.63
,4.76
,4.81
9526.21,4.74
,4.74
,4.76
9686.626,4.99
,5.07
,5.22
9900.169,5.2
,5.42
,5.3
10002.179,5.45
,5.73
,5.85
10247.72,6.02
,6.27
,6.53
10318.165,6.54
,6.5
,6.52
10435.744,6.51
,6.51
,6.4
10470.231,5.98
,5.49
,5.31
10599.0,4.8
,4.21
,3.97
10598.02,3.77
,3.65
,3.07
10660.465,2.49
,2.09
,1.82
10783.5,1.73
,1.74
,1.73
10887.46,1.75
,1.75
,1.75
10984.04,1.73
,1.74
,1.75
11061.433,1.75
,1.34
,1.24
11174.129,1.24
,1.26
,1.25
11312.766,1.26
,1.26
,1.22
11566.669,1.01
,1.03
,1.01
11772.234,1.01
,1.0
,0.98
11923.447,1.0
,1.01
,1.0
12112.815,1.0
,1.0
,1.03
12305.307,1.26
,1.43
,1.61
12527.214,1.76
,1.93
,2.16
12767.286,2.28
,2.5
,2.63
12922.656,2.79
,3.0
,3.04
13142.642,3.26
,3.5
,3.62
13324.204,3.78
,4.0
,4.16
13599.16,4.29
,4.49
,4.59
13753.424,4.79
,4.94
,4.99
13870.188,5.24
,5.25
,5.25
14039.56,5.25
,5.25
,5.24
14215.651,5.25
,5.26
,5.26
14402.082,5.25
,5.25
,5.25
14564.117,5.26
,5.02
,4.94
14715.058,4.76
,4.49
,4.24
14706.538,3.94
,2.98
,2.61
14865.701,2.28
,1.98
,2.0
14898.999,2.01
,2.0
,1.81
14608.209,0.97
,0.39
,0.16
14430.902,0.15
,0.22
,0.18
14381.236,0.15
,0.18
,0.21
14448.882,0.16
,0.16
,0.15
14651.249,0.12
,0.12
,0.12
14764.61,0.11
,0.13
,0.16
14980.193,0.2
,0.2
,0.18
15141.607,0.18
,0.19
,0.19
15309.474,0.19
,0.19
,0.18
15351.448,0.17
,0.16
,0.14
15557.539,0.1
,0.09
,0.09
15647.68,0.07
,0.1
,0.08
15842.259,0.07
,0.08
,0.07
16068.805,0.08
,0.1
,0.13
16207.115,0.14
,0.16
,0.16
16319.541,0.16
,0.13
,0.14
16420.419,0.16
,0.16
,0.16
16648.189,0.14
,0.15
,0.14
16728.687,0.15
,0.11
,0.09
16953.838,0.09
,0.08
,0.08
17192.019,0.09
,0.08
,0.09
17197.738,0.07
,0.07
,0.08
17518.508,0.09
,0.09
,0.1
17804.228,0.09
,0.09
,0.09
17912.079,0.09
,0.09
,0.12
18063.529,0.11
,0.11
,0.11
18279.784,0.12
,0.12
,0.13
18401.626,0.13
,0.14
,0.14
18435.137,0.12
,0.12
,0.24
18525.933,0.34
,0.38
,0.36
18711.702,0.37
,0.37
,0.38
18892.639,0.39
,0.4
,0.4
19089.379,0.4
