zpid,city,homeType,homeStatus,lotAreaUnit,state,newConstructionType,Average Risk Level,bathrooms,bedrooms,livingArea,lotAreaValue,price,rentZestimate,zipcode,taxAssessedValue,datePriceChanged,priceChange,Average Score,investment_risk
241586703,San Francisco,CONDO,FOR_SALE,acres,CA,no,Low,2.0,2.0,834.0,0.2583,1100000.0,3995.0,94103.0,1281279.0,0.0,0.0,1.8330118525027328,2859.82152915
64969830,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,2.0,2.0,1145.0,0.990518825,965000.0,5043.0,94103.0,827350.0,0.0,0.0,1.5938561253259822,2476.321416
80747951,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,2.0,1.0,1441.0,5164.0380000000005,975000.0,4027.0,94103.0,393594.0,0.0,0.0,1.6434671970203905,2550.6268900000005
335654459,San Francisco,CONDO,FOR_SALE,sqft,CA,BUILDER_SPEC,blank,3.0,2.0,2843.0,0.0,4828000.0,5845.0,94103.0,4175141.0,0.0,0.0,7.960580555878691,12206.88305
2061892034,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,3.0,6.0,4750.0,3746.16,2100000.0,17114.0,94103.0,239764.5,0.0,0.0,3.5428955063618597,5459.2722825
2062694967,San Francisco,CONDO,FOR_SALE,sqft,CA,NEW_CONSTRUCTION_TYPE_OTHER,blank,3.0,2.0,0.0,0.0,1104000.0,4900.0,94103.0,633610.0,1687420000000.0,-60000.0,1.6719043827920652,2601.735234999999
303806659,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,1.0,1.0,672.0,1500.887,650000.0,2565.0,94103.0,748000.0,1686810000000.0,-38000.0,1.068127013385902,1661.433645
2057481573,San Francisco,MULTI_FAMILY,FOR_SALE,sqft,CA,no,blank,4.0,4.5,10290.0,3746.16,4395000.0,3543.0,94103.0,3181197.5,1686120000000.0,-405000.0,5.824188599414517,8909.529336374999
67394837,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,2.0,1.0,801.0,0.363429752,649000.0,3576.0,94103.0,787810.0,1687590000000.0,-46000.0,1.1981398448244553,1888.6042309999998
2057749983,San Francisco,CONDO,FOR_SALE,sqft,CA,NEW_CONSTRUCTION_TYPE_OTHER,Low,1.0,1.0,0.0,0.0,585000.0,2795.0,94103.0,85075.0,1688020000000.0,-3000.0,0.967953062843949,1520.1616
82785870,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,1.0,1.0,764.0,0.0,760000.0,3332.0,94103.0,886490.0,0.0,0.0,1.2629910684372971,1976.4184500000001
15147361,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,1.0,1.0,474.0,0.261111111,498000.0,2998.0,94103.0,413978.0,0.0,0.0,0.8247713198901194,1297.55426
79847086,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,3.0,2.0,1735.0,0.260743802,1785000.0,3590.5,94104.0,1308560.0,0.0,0.0,3.0243985610069704,4666.064086
